case_id,case_outcome,case_title,case_text
Case89,referred to,"Lawrance v President, Administrative Appeals Tribunal [2005] FCA 79",The assumption is without foundation. I refused interlocutory relief on 10 February 2005; see [2005] FCA 79. Leave to appeal from my judgment was refused by Hely J on 3 May 2005; see [2005] FCA 541.
Case90,referred to,Lawrance v Administrative Appeals Tribunal [2005] FCA 541,The assumption is without foundation. I refused interlocutory relief on 10 February 2005; see [2005] FCA 79. Leave to appeal from my judgment was refused by Hely J on 3 May 2005; see [2005] FCA 541.
Case95,followed,"Purchas, in the matter of Estore Pty Limited (in liq) [2006] FCA 1222","material facts in Purchas, in the matter of Estore Pty Limited (in liq) [2006] FCA 1222 and Purchas, in the matter of Worldwide Workers Pty Limited (in liq) [2006] FCA 1223 are indistinguishable in substance from this case. Directions will be given and an order for costs will be made for the same reasons as those appearing in the aforementioned cases."
Case96,followed,"Purchas, in the matter of Worldwide Workers Pty Limited (in liq) [2006] FCA 1223","material facts in Purchas, in the matter of Estore Pty Limited (in liq) [2006] FCA 1222 and Purchas, in the matter of Worldwide Workers Pty Limited (in liq) [2006] FCA 1223 are indistinguishable in substance from this case. Directions will be given and an order for costs will be made for the same reasons as those appearing in the aforementioned cases."
Case108,cited,"Chu Kheng Lim v Minister for Immigration, Local Government and Ethnic Affairs [1992] HCA 64 ; (1992) 176 CLR 1","A narrower view of the aliens power has been taken on occasion (see Gaudron J in Chu Kheng Lim v Minister for Immigration, Local Government and Ethnic Affairs [1992] HCA 64 ; (1992) 176 CLR 1 at 57) but I am satisfied that the views expressed by Brennan J in Cunliffe v Commonwealth (supra) are the principles binding on me. The applicant argued the matter by reference to those principles."
Case118,cited,Navarrete v Minister for Immigration and Multicultural and Indigenous Affairs [2004] FCA 1723,Allsop J applied this principle in Navarrete v Minister for Immigration and Multicultural and Indigenous Affairs [2004] FCA 1723.
Case124,considered,Shaw v Minister for Immigration and Multicultural Affairs [2003] HCA 72 ; (2003) 218 CLR 28,"In Shaw v Minister for Immigration and Multicultural Affairs [2003] HCA 72 ; (2003) 218 CLR 28 Gleeson CJ, Gummow and Hayne JJ (Heydon J agreeing at 87 [190]) said (at 35[2]) (footnote omitted): 'The power conferred by s 51(xix) supports legislation determining those to whom is attributed the status of alien; the Parliament may make laws which impose upon those having this status burdens, obligations and disqualifications which the Parliament could not impose upon other persons. On the other hand, by a law with respect to naturalisation, the Parliament may remove that status, absolutely or upon conditions. In this way, citizenship may be seen as the obverse of the status of alienage.'"
Case127,cited,"Taylor, Re; Ex parte Natwest Australia Bank Ltd (1992) 37 FCR 194","A natural person may be a citizen of Australia or a non-citizen. In the case of a natural person who is a citizen, there is no definition in the Act of 'resident' or 'ordinarily'. There are a large number of cases which have examined the meaning of those words in various statutory contexts. It seems that the words are not terms of art and the question is one of fact and degree and that a person may have two places of residence: Re Vassis; Ex parte Leung (1986) 9 FCR 518 at 524-525 per Burchett J; Re Taylor; Ex parte Natwest Australia Bank Limited (1992) 37 FCR 194 at 197 per Lockhart J. The particular problem of a person possibly being ordinarily resident in two places does not arise here because the criterion in s 4(6) is 'not ordinarily in Australia'."
Case130,cited,"Vassis, Re; Ex parte Leung (1986) 9 FCR 518","A natural person may be a citizen of Australia or a non-citizen. In the case of a natural person who is a citizen, there is no definition in the Act of 'resident' or 'ordinarily'. There are a large number of cases which have examined the meaning of those words in various statutory contexts. It seems that the words are not terms of art and the question is one of fact and degree and that a person may have two places of residence: Re Vassis; Ex parte Leung (1986) 9 FCR 518 at 524-525 per Burchett J; Re Taylor; Ex parte Natwest Australia Bank Limited (1992) 37 FCR 194 at 197 per Lockhart J. The particular problem of a person possibly being ordinarily resident in two places does not arise here because the criterion in s 4(6) is 'not ordinarily in Australia'."
Case138,cited,Adelmann &amp; Ham Boiler Corporation v Llanrwst Foundry Co (1928) 45 RPC 413,"GMCA submitted that both patents were but an ""attempt to re-design a known tool so as to achieve impermissibly, a patent monopoly over what is really a marketing idea"". The alleged invention, so the argument went, citing Maugham J in Adelmann &amp; Ham Boiler Corporation v Llanrwst Foundry Co (1928) 45 RPC 413 at 420, was simply the application of a well known and well understood piece of mechanism to achieve an obvious advantage. The mere ""positioning"" of the handle for a known tool in order to achieve a known result was not a manner of manufacture."
Case142,cited,F Hoffman-La Roche &amp; Co v Commissioner of Patents [1971] HCA 3 ; (1971) 123 CLR 529,"The claims must be fairly based on the matter described in the specification: Patents Act s 40(3). The body of the specification must provide a ""real and reasonably clear disclosure"" of the invention claimed: F Hoffman-La Roche &amp; Co v Commissioner of Patents [1971] HCA 3 ; (1971) 123 CLR 529 at 539; Lockwood 1 at [69]. 33 GMCA submits that the claims are not fairly based. It says that the claims, in particular claim 1, are not limited to power saws but extend to all manner of power tools. They do not include ""essential features"" in the specification, viz the reciprocation frequency and stroke length ranges. They also refer to a ""plurality"" of positions whereas in fact there are only two. 34 Whatever may be the position in relation to claim 1, the claims from claim 3 onwards, and in particular the critical claim 6, are clearly confined to power saws."
Case144,cited,General Tire &amp; Rubber Co v Firestone Tyre and Rubber Co Ltd [1972] RPC 457,"In the case of an anticipation in documentary form, the document must contain ""clear and unmistakable directions to do what the patentee claims to have invented"": General Tire &amp; Rubber Co v Firestone Tyre and Rubber Co Ltd [1972] RPC 457 at 486. 44 Although GMCA originally pleaded some 22 anticipations, by trial these had been reduced to 13. In final submissions only seven were relied on. The general comment can be made that although some of the devices could perhaps as a matter of physical possibility be used as a jigsaw there was no clear direction that this was their intended use. 45 This device was in evidence and is also described in the Bosch 1993/94 Catalogue. It is described as a ""multisaw"" and is pictured as being used in panel saw mode. There are photographs of various blade accessories such as a rasp, file and various brushes and also the statement: ""In addition, the Bosch jigsaw accessory range is available for the multisaw""."
Case145,referred to,Grant v Commissioner of Patents (2006) 69 IPR 221,"Much of this argument overlapped with GMCA's case on description, utility, novelty and obviousness. To the extent that it did not, it must be rejected. The alleged invention did not involve an abstract idea, like that considered in Grant v Commissioner of Patents (2006) 69 IPR 221. It concerned machines and their operation and thus ""something of a corporeal and substantial nature"": R v Wheeler (1819) 2 B &amp; Ald 345 at 350, cited in Lockwood Security Products Pty Ltd v Doric Products Pty Ltd (No 2) [2007] HCA 21 ; (2007) 72 IPR 447 at [66] ( Lockwood 2 )."
Case147,cited,Lockwood Security Products Pty Ltd v Doric Products Pty Ltd (No 2) [2007] HCA 21 ; (2007) 72 IPR 447,"Much of this argument overlapped with GMCA's case on description, utility, novelty and obviousness. To the extent that it did not, it must be rejected. The alleged invention did not involve an abstract idea, like that considered in Grant v Commissioner of Patents (2006) 69 IPR 221. It concerned machines and their operation and thus ""something of a corporeal and substantial nature"": R v Wheeler (1819) 2 B &amp; Ald 345 at 350, cited in Lockwood Security Products Pty Ltd v Doric Products Pty Ltd (No 2) [2007] HCA 21 ; (2007) 72 IPR 447 at [66] ( Lockwood 2 )."
Case154,cited,R v Wheeler (1819) 2 B &amp; Ald 345,"Much of this argument overlapped with GMCA's case on description, utility, novelty and obviousness. To the extent that it did not, it must be rejected. The alleged invention did not involve an abstract idea, like that considered in Grant v Commissioner of Patents (2006) 69 IPR 221. It concerned machines and their operation and thus ""something of a corporeal and substantial nature"": R v Wheeler (1819) 2 B &amp; Ald 345 at 350, cited in Lockwood Security Products Pty Ltd v Doric Products Pty Ltd (No 2) [2007] HCA 21 ; (2007) 72 IPR 447 at [66] ( Lockwood 2 )."
Case157,cited,Ullrich Aluminium Pty Ltd v Dias Aluminium Products Pty Ltd [2006] FCAFC 119 ; (2006) 153 FCR 437,"Section 17 of the Designs Act 1906 requires that a design be new or original to enable it to be registered. It must be ""substantially novel or substantially original, having regard to the nature of the article to which the design is applied"": Ullrich Aluminium Pty Ltd v Dias Aluminium Products Pty Ltd [2006] FCAFC 119 ; (2006) 153 FCR 437 at [3] . GMCA's expert Mr Brown considered nine prior saw blades as follows: (i) Canadian Patent No. 636160; (ii) US Patent No. 3,802,079; (iii) US Patent No. 2,621,689; (iv) Extract from ""Popular Mechanics Encyclopaedia of Tools and Techniques"" by Oldham, 1994, page 132; (v) ""Power Hand Tool Handbook"", pages 40 41, 1980 by Case; (vi) Bourke Patent US No. 5,755,293; (vii) Black &amp; Decker European Patent No. 0949 032; (viii) pages 94, 95 and 106 from ""The Complete Book of Tools"" by Jackson and Day; (ix) Disston No. 12 and D23 lightweight saws. 105 With the exception of the Disston saw blades all of these references were provided to Mr Brown by GMCA's solicitors. None of the references contain a blade with a notch at the front or the same shape as the Design. The Disston blades lack the notch at the front of the Design and any shank at the rear and an angled front edge. 106 Black &amp; Decker's expert Professor Redmond considered the references and was of the view that none were substantially similar visually to the Design. In my view none of the references showed blades which were substantially similar visually to the Design."
Case205,applied,Re Judiciary and Navigation Acts [1921] HCA 20 ; (1921) 29 CLR 257,"root authority in respect of what constitutes a ""matter"" for the purposes of a law conferring Federal jurisdiction is Re Judiciary and Navigation Acts [1921] HCA 20 ; (1921) 29 CLR 257. In that case (at 265) the following pronouncement was made in relation to s 76 of the Constitution : It was suggested in argument that ""matter"" meant no more than legal proceeding, and that Parliament might at its discretion create or invent a legal proceeding in which this Court might be called on to interpret the Constitution by a declaration at large. We do not accept this contention; we do not think that the word ""matter"" in sec. 76 means a legal proceeding, but rather the subject matter for determination in a legal proceeding. In our opinion there can be no matter within the meaning of the section unless there is some immediate right, duty or liability to be established by the determination of the Court. If the matter exists, the Legislature may no doubt prescribe the means by which the determination of the Court is to be obtained, and for that purpose may, we think, adopt any existing method of legal procedure or invent a new one. But it cannot authorize this Court to make a declaration of the law divorced from any attempt to administer that law. Put shortly, the giving of an advisory opinion is antithetical to an exercise of Federal jurisdiction. The Applicants do not (and could not) contest that the relevant test reposes in this pronouncement. Rather, they submit that, in terms of the course of authority with respect to that pronouncement, a ""matter"" does exist. They point to the existence of present negotiations and submit that there is an issue between them and the Respondents, evident from the relief sought, which is and will remain real and not hypothetical unless and until: (a) Santos and Delhi Petroleum disclaim any right to have the State grant to them as a pre-existing rights based act a petroleum lease in respect of the claimed land under the Petroleum Act or indicate that they will not be seeking the grant of such a lease; or (b) The State indicates that it agreed with the Applicants that the grant of such a lease was not a pre-existing rights based act and that it would not grant such a lease to Santos and Delhi Petroleum."
Case214,applied,Hopper v Egg and Egg Pulp Marketing Board of Victoria [1939] HCA 24 ; (1939) 61 CLR 665,"purporting to give the Court jurisdiction are ""colourable"" and ""not genuine"" if they are obviously doomed to fail: Cook v Pasminco Ltd [2000] FCA 677 ; (2000) 99 FCR 548 at 550. To invoke the Court's jurisdiction, claims must be ""real and not mere pleading allegations"" Hopper v Egg and Egg Pulp Marketing Board of Victoria [1939] HCA 24 ; (1939) 61 CLR 665 at 677 (Starke J)."
Case248,followed,New South Wales v Commonwealth (Work Choices Case) [2006] HCA 52 ; (2006) 229 CLR 1,"On 14 November 2006, the High Court delivered judgment in New South Wales v Commonwealth (2006) 229 CLR 1 ; [2006] HCA 52 ( Work Choices Case ) concerning the validity of the Workplace Relations Amendment (Work Choices) Act 2005 (Cth) (the Work Choices Act) as enacted in December 2005. The Work Choices Act changed the constitutional basis for the WRA. As a consequence of the Work Choices Act, the WRA is now substantially an exercise of the corporations power under s 51(xx) of the Constitution , rather than an exercise of the conciliation and arbitration power under s 51(xxxv). 5 The WRA, as amended, defines ""employee"" in s 5(1) as an individual so far as he or she is employed, or usually employed, by an employer as defined in s 6(1). 6 ""Employer"" is defined in s 6(1) as meaning: (a) a constitutional corporation, so far as it employs, or usually employs, an individual; or (b) the Commonwealth, so far as it employs, or usually employs, an individual; or (c) a Commonwealth authority, so far as it employs, or usually employs, an individual; or (d) a person or entity (which may be an unincorporated club) so far as the person or entity, in connection with constitutional trade or commerce, employs, or usually employs, an individual as: (i) a flight crew officer; or (ii) a maritime worker; or (iii) a waterside workers; or (e) a body corporate incorporated in a Territory, so far as the body employs, or usually employs, an individual; or (f) a person or entity (which may be an unincorporated club) that carries on an activity (whether of a commercial, governmental or other nature) in a Territory in Australia, so far as the person or entity employs, or usually employs, an individual in connection with the activity carried on in the Territory. 9 The High Court in the Work Choices Case , by a majority of five to two, held that the Work Choices Act was valid. The majority concluded that the understanding of the power conferred by s 51(xx) as explained by Mason CJ, Deane and Gaudron JJ in Re Dingjan; Ex parte Wagner (1995) 183 CLR 323 ; 128 ALR 81 ; [1995] HCA 16 ( Re Dingjan) and amplified by Gaudron J in Re Pacific Coal Pty Ltd; Ex parte Construction, Forestry, Mining and Energy Union (2000) 203 CLR 346 ; 172 ALR 257 ; [2000] HCA 34 ( Pacific Coal ) should be adopted. 17 The majority in the Work Choices Case , in seeking to determine the ambit of laws which apply to constitutional corporations, referred to the dissenting members of the Court in Re Dingjan [1995] HCA 16 ; (1995) 183 CLR 323. The majority said, at [177]: ... Particular reference need now be made only to the reasons of Gaudron J (with which Deane J agreed). Her Honour's reasoning proceeded by the following steps. [1995] HCA 16 ; [(1995) 183 CLR 323 at 365; [1995] HCA 16 ; 128 ALR 81 at 111]. First, the business activities of corporations formed within Australia signify whether they are trading or financial corporations, and the main purpose of the power to legislate with respect to foreign corporations must be directed to their business activities in Australia. Second, it follows that the power conferred by s 51(xx) extends ""at the very least"" [1995] HCA 16 ; [(1995) 183 CLR 323 at 365; [1995] HCA 16 ; 128 ALR 81 at 111] to the business functions and activities of constitutional corporations and to their business relationships. Third, once the second step is accepted, it follows that the power ""also extends to the persons by and through whom they carry out those functions and activities and with whom they enter into those relationships"". [1995] HCA 16 ; [(1995) 183 CLR 323 at 365; [1995] HCA 16 ; 128 ALR 81 at 111]. 21 If it is, the acceptance by the majority in the Work Choices Case of the ambit of the power of the Commonwealth under s 51(xx) as described by Gaudron J in Pacific Coal , would mean that the Commonwealth has power to regulate the activities, functions, relationships and the business of the Etheridge Shire Council; the creation of rights and privileges belonging to the Etheridge Shire Council; the imposition of obligations on it; and, in respect of those matters, the regulation of the conduct of those through whom it acts, its employees, and also the regulation of those whose conduct is or is capable of affecting its activities, functions, relationships or business. 23 The constitutional framework erected by the Constitution referred to in the majority judgment in the Work Choices Case set out at para [12] above, including the observation from the Melbourne Corporation case, emphatically denies that possibility. 24 In the Work Choices Case , the majority of the High Court noted, at [9]: The term ""constitutional corporation"" is defined in s 4 to mean a corporation to which s 51(xx) of the Constitution applies. That paragraph refers to foreign corporations, and trading or financial corporations formed within the limits of the Commonwealth. No doubt there may be room for dispute, in relation to some corporations, about whether they are constitutional corporations within the meaning of the new Act. However, in the application of para (a) of the basic definition of employer, and the corresponding definition of employee, to a given corporation, the hypothesis is that it is a constitutional corporation. 28 Subsequent to the judgment of the High Court in the Work Choices Case , the Australian Workers Union of Employees, Queensland (the applicant), filed an application in this Court on 6 December 2006. Subsequently, an amended application, which included the Queensland Services, Industrial Union of Employees as the second applicant, was filed on 22 December 2006. That application sought ""declaratory orders pursuant to s 21 of The Federal Court of Australia Act 1976 (Cth)"" declaring: ... the respective rights of the parties regarding a purported Workplace Agreement lodged by the First Respondent with the Second Respondent, purportedly in reliance upon sections 342 , 344 and 345 of the Workplace Relations Act 1996 on the 21st October 2006, and described as ""Etheridge Shire Council Australia (Employee Collective) Workplace Agreement 2006"" (hereinafter called ""the Etheridge Agreement""). 29 The applicants sought that: It be declared: (i) that the First Respondent is not an ""employer"" within the meaning of section 6 of the Workplace Relations Act ; (ii) that the First Respondent was not lawfully entitled to lodge the Etheridge Agreement with the Second Respondent on 21 st October 2006, or at any time thereafter, under Part 8 of the Workplace Relations Act 1996 ; (iii) that the Etheridge Agreement did not come into operation as a workplace agreement in accordance with section 347(1) of the Workplace Relations Act 1996 on 21 st October 2006, nor any time thereafter. (iv) that the Etheridge Agreement has no force and effect as a workplace agreement under the Workplace Relations Act 1996 ; 30 On 5 February 2007, in proceedings QUD 39 of 2007, the State of Queensland sought similar declarations. 78 The observations of the High Court in the Work Choices Case , at [157] and [158] set out in [13]-[14] above, contrasts the view of the majority in St George City Council that the question of characterisation is to be determined by the purpose for which the corporation is formed, with the dissenting view of Barwick CJ that the ""activities test"" determines the character of a corporation, and that ""a corporation whose predominant and characteristic activity is trading whether in goods or services"" was a trading corporation. 79 The comment by the majority in the Work Choices Case that the view of Barwick CJ ""did not then command the assent of the majority of the Court"" is to be understood as indicating that the ""activities test"" propounded by Barwick CJ was later accepted by the High Court in Adamson as the applicable test, and is the proper test to apply. 80 Mason J, in Adamson, said of a ""trading corporation"": Essentially, it is a description or label given to a corporation when its trading activities form a sufficiently significant proportion of its overall activities as to merit its description as a trading corporation."
Case271,considered,Re Morris Catering (Australia) Pty Ltd (1993) 11 ACSR 601,"To like effect are the observations of Thomas J in the Supreme Court of Queensland in Re Morris Catering (Australia) Pty Ltd (1993) 11 ACSR 601, where his Honour said at 605-606: There is little doubt that Division 3 is intended to be a complete code which prescribes a formula that requires the Court to assess the position between the parties and preserve demands where it can be seen that there is no genuine dispute and no sufficient genuine offsetting claim. That is not to say that the Court will examine the merits or settle the dispute. The specified limits of the Court's examination are the ascertainment of whether there is a ""genuine dispute"" and whether there is a ""genuine claim""."
Case273,cited,Stack v Brisbane City Council (1999) 47 IPR 525,"Litigation involving those petty patents in the Federal Court [(1999) 47 IPR 525] resulted in the plaintiff losing on the issue of entitlement, Cooper J otherwise being satisfied that the invention was a manner of new manufacture and was also novel, inventive, and useful. 28 Mr Fox says: 5. GST [the plaintiff] is also the Patentee of three more recent patents (""the three new patents"") which also derive from application No. 85236/91 as divisional either directly or indirectly, those patents being No. 780782 (32815/95), No. 781173 (46033/01), and No. 781174 (43779/01) and all three new patents relate to the same ""invention"" as the two petty patents previously mentioned. In fact, the claims of patent No: 781174 are identical to the claims of one of the petty patents, namely, No: 645740. The claims of patent No: 781173 are identical to the claims of the other petty patent, namely, No: 662284. 29 The tenor of his evidence is that those commercially sold water meter assemblies infringe the patents of the plaintiff."
